Maroc Rabat
Tunisie Tunis
Algérie Alger
Madagascar Tananarive
Sénégal Dakar
Somalie Mogadiscio
Libye Tripoli
Egypte Le_Caire
Soudan Khartoum
Ouganda Kampala
Etats-Unis Washington
Canada Ottawa
Mexique Mexico
Brésil Brasilia
Argentine Buenos_Aires
Cuba La_Havane
Colombie Bogota
Venezuela Caracas
Pérou Lima
Equateur Quito
Chine Pékin
Qatar Doha
Arabie_Saoudite Ryad
Iran Téhéran
Japon Tokyo
Inde New_Delhi
Vietnam Hanoi
Thaïlande Bangkok
Pakistan Islamabad
Taïwan Taipei
France Paris
Allemagne Berlin
Italie Rome
Espagne Madrid
Pays-Bas Amsterdam
Belgique Bruxelles
Luxembourg Luxembourg
Suisse Berne
Portugal Lisbonne
Grèce Athènes
Australie Canberra
Nouvelle_Zélande Wellington
Indonésie Jakarta
Tonga Nuku'alofa
Fidji Suva
Samoa Apia
Nouvelle_Caledonie Nouméa
Tuvatu Funafuti
Papouasie_Nouvelle_Guinée Port_Moresby
Palaos Melekeok
